country_type,Country,League,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA
Main,Scotland,Division 3,2003/2004,24/01/04,Cowdenbeath,Gretna,1,2,A,1,1,D,2.37,3.5,2.37,2.45,3.4,2.35,2.3,3.1,2.3,2.25,3.5,2.5,999,999,999,2.38,3.4,2.38,2.5,3.4,2.3
Main,Scotland,Division 3,2003/2004,24/01/04,Peterhead,East Stirling,6,0,H,4,0,H,1.2,5.5,9,1.18,5.6,9.65,1.2,4.7,6.5,1.22,5.5,8,999,999,999,1.2,5.5,8.5,1.16,6,10
Main,Scotland,Division 3,2003/2004,24/01/04,Queens Park,Montrose,1,1,D,0,0,D,2.37,3.5,2.37,2.45,3.45,2.35,2.3,3.1,2.3,2.25,3.5,2.5,999,999,999,2.3,3.5,2.4,2.5,3.4,2.3
Main,Scotland,Division 3,2003/2004,24/01/04,Stirling,Albion Rvs,3,0,H,1,0,H,1.4,4.33,5.5,1.43,4.1,5.45,1.45,3.7,4.6,1.44,4,5.5,999,999,999,1.4,4.2,5.5,1.44,4,5.5
Main,Scotland,Division 3,2003/2004,24/01/04,Stranraer,Elgin,6,0,H,1,0,H,1.33,4.5,6.5,1.35,4.5,6,1.35,4,5.5,1.29,5,7,999,999,999,1.36,4,6.5,1.3,5,6.5
Main,Scotland,Division 3,2003/2004,31/01/04,Montrose,Stranraer,1,4,A,1,3,A,3.75,3.6,1.727,3.45,3.55,1.8,3,3.3,1.85,3.2,3.5,1.909,999,999,999,3.3,3.6,1.8,3.3,3.6,1.83
Main,Scotland,Division 3,2003/2004,07/02/04,Albion Rvs,Montrose,3,0,H,1,0,H,2.375,3.5,2.375,2.38,3.5,2.38,2.3,3.1,2.3,2.5,3.5,2.25,999,999,999,2.37,3.4,2.37,2.37,3.5,2.37
Main,Scotland,Division 3,2003/2004,07/02/04,Cowdenbeath,Queens Park,5,1,H,2,1,H,1.8,3.5,3.5,1.83,3.5,3.4,1.9,3.2,2.9,1.8,3.5,3.5,999,999,999,1.85,3.5,3.2,1.9,3.6,3.1
Main,Scotland,Division 3,2003/2004,07/02/04,Elgin,Gretna,1,1,D,0,1,A,6,3.75,1.444,6,3.75,1.45,4.2,3.7,1.5,5,3.75,1.533,999,999,999,5,3.6,1.53,6,3.75,1.44
Main,Scotland,Division 3,2003/2004,07/02/04,Stirling,Peterhead,0,2,A,0,1,A,1.727,3.6,3.75,1.72,3.6,3.75,1.8,3.3,3.2,1.727,3.5,3.75,999,999,999,1.66,3.5,4,1.8,3.6,3.4
Main,Scotland,Division 3,2003/2004,07/02/04,Stranraer,East Stirling,7,1,H,2,0,H,1.143,6,12,1.14,6,12,1.15,4.7,9,1.125,6,15,999,999,999,1.14,6,11,1.12,6.5,12
Main,Scotland,Division 3,2003/2004,14/02/04,East Stirling,Cowdenbeath,0,1,A,0,0,D,7,3.75,1.4,6,4,1.4,5.5,4,1.35,5.5,4.333,1.4,999,999,999,6,4.33,1.36,6.5,5,1.3
Main,Scotland,Division 3,2003/2004,14/02/04,Gretna,Albion Rvs,3,0,H,3,0,H,1.533,3.75,4.75,1.55,3.75,4.65,1.55,3.4,4.3,1.5,4,5,999,999,999,1.57,3.6,4.5,1.57,4,4.2
Main,Scotland,Division 3,2003/2004,14/02/04,Montrose,Elgin,4,3,H,3,1,H,1.571,3.75,4.5,1.6,3.6,4.4,1.55,3.4,4.3,1.5,4,5,999,999,999,1.57,3.6,4.5,1.57,4,4.2
Main,Scotland,Division 3,2003/2004,14/02/04,Peterhead,Stranraer,2,0,H,2,0,H,2.375,3.5,2.375,2.4,3.4,2.4,2.3,3.1,2.3,2.25,3.5,2.5,999,999,999,2.4,3.5,2.3,2.37,3.5,2.37
Main,Scotland,Division 3,2003/2004,14/02/04,Queens Park,Stirling,1,4,A,1,2,A,4.333,3.6,1.615,4,3.5,1.7,3.8,3.3,1.65,3.75,3.5,1.727,999,999,999,4,3.5,1.66,3.8,3.75,1.66
Main,Scotland,Division 3,2003/2004,17/02/04,Albion Rvs,Stranraer,1,4,A,0,2,A,3.75,3.6,1.72,3.75,3.65,1.7,3.3,3.4,1.75,3.75,3.5,1.73,999,999,999,999,999,999,3.75,3.6,1.73
